id,listing_url,name,description,neighborhood_overview,host_is_superhost,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bathrooms,bedrooms,beds,amenities,has_wifi,has_kitchen,has_tv,has_ac,has_pool,has_parking,has_washer,has_elevator,amenities_count,price_numeric,price,minimum_nights,review_scores_rating,review_scores_value,instant_bookable
27886,https://www.airbnb.com/rooms/27886,"romantic, stylish b&b houseboat in canal district","stylish and romantic houseboat on fantastic historic location with breathtaking view. wheelhouse, deckhouse and captains room. central, quiet. great breakfast, 2 vanmoof design bikes and a canadian canoe are included. just read the reviews on tripadvisor for instance!","central, quiet, safe, clean and beautiful.",1,centrum-west,52.38761,4.89188,private room in houseboat,private room,2,1.5 baths,1.5,1,1,"[""Canal view"", ""Coffee"", ""Private backyard \u2013 Not fully fenced"", ""Bikes"", ""Portable fans"", ""Books and reading material"", ""Fast wifi \u2013 245 Mbps"", ""Hangers"", ""Paid street parking off premises"", ""Shower gel"", ""Breakfast"", ""Wine glasses"", ""Dining table"", ""Private living room"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Heating - split type ductless system"", ""Long term stays allowed"", ""Central heating"", ""Self check-in"", ""Private patio or balcony"", ""City skyline view"", ""Shampoo"", ""Kayak"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Hp neutral, eco friendly body soap"", ""Garden view"", ""Laundromat nearby"", ""Air conditioning"", ""Lake access"", ""Smart lock"", ""Dedicated workspace"", ""Boat slip"", ""Mini fridge"", ""Harbor view"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Coffee maker: Nespresso"", ""Safe"", ""Extra pillows and blankets"", ""Smoke alarm"", ""Refrigerator"", ""Essentials"", ""Outdoor furniture"", ""Waterfront"", ""Clothing storage: closet""]",1,0,1,1,0,1,0,0,4,132,$132.00,3,4.92,4.78,0
28871,https://www.airbnb.com/rooms/28871,comfortable double room,basic bedroom in the center of amsterdam.,"flower market , leidseplein , rembrantsplein",1,centrum-west,52.36775,4.89092,private room in rental unit,private room,2,1 shared bath,1,1,1,"[""Heating"", ""Lock on bedroom door"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Cleaning products"", ""Smoke alarm"", ""Refrigerator"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Fire extinguisher""]",1,0,0,0,0,0,0,0,1,89,$89.00,2,4.87,4.83,0
29051,https://www.airbnb.com/rooms/29051,comfortable single / double room,this room can also be rented as a single or a small double also a cat lives here,the street is quite lively especially on weekends when the weather is good,1,centrum-oost,52.36584,4.89111,private room in condo,private room,2,1 shared bath,1,1,1,"[""Heating"", ""Lock on bedroom door"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Refrigerator"", ""Wifi"", ""Hot water"", ""Bed linens"", ""Hangers"", ""Essentials"", ""Host greets you"", ""Iron"", ""Shampoo"", ""Coffee maker"", ""Shower gel"", ""Fire extinguisher""]",1,0,0,0,0,0,0,0,1,61,$61.00,2,4.81,4.79,0
49552,https://www.airbnb.com/rooms/49552,multatuli luxury guest suite in top location,"stylish & spacious 60m2 guest suite in amsterdam's most desirable neighbourhood. central and convenient. perfectly placed in easy walking distance of all the sights, transport, shops, cafes and restaurants. quiet and peaceful bedroom, large and light living room (can be used as second bedroom), luxurious and spacious bathroom, handy pantry. the house is a national monument built in 1790, completely renovated in 2019. in the 1820s it was the home of multatuli, holland's most famous author.","you will find yourself in a quiet side street of the canal district by the jordaan, with everything you need just around the corner. from little cafes and restaurants, a great bakery and an italian coffee bar, to all kinds of traiteurs, shops and supermarkets. there are two weekly organic markets within 5 minutes walk (wednesdays and saturdays). there's a bike rental 2 minutes walk from the house. it's just a short train ride from the airport (only 15 minutes) and the station is only 7 minutes walk from the apartment so it's very quick to get here. amsterdam is a small city and it's very easy to get around on foot or by bike or of course by boat! location description: binnen brouwersstraat is located in a beautiful area of the northern jordaan, a small side street at the top of the keizersgracht canal, between the brouwersgracht canal (voted the most beautiful street in amsterdam) and the haarlemmerstraat (voted the best shopping street in the netherlands) w",1,centrum-west,52.38028,4.89089,entire guest suite,entire home/apt,3,1 bath,1,2,2,"[""Coffee"", ""Bikes"", ""Portable fans"", ""Toaster"", ""Wifi"", ""TV with Chromecast"", ""Books and reading material"", ""Hangers"", ""Babysitter recommendations"", ""Hot water kettle"", ""Children\u2019s dinnerware"", ""Paid street parking off premises"", ""Marie Stella Maris conditioner"", ""Children\u2019s books and toys"", ""Shower gel"", ""Exercise equipment: yoga mat"", ""Clothing storage: closet and wardrobe"", ""Marie Stella Maris shampoo"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""Outdoor playground"", ""Central heating"", ""Iron"", ""Room-darkening shades"", ""Dishes and silverware"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Crib"", ""Laundromat nearby"", ""Board games"", ""Host greets you"", ""Dedicated workspace"", ""Bathtub"", ""Freezer"", ""Kitchenette"", ""Mini fridge"", ""Housekeeping - available at extra cost"", ""Children\u2019s bikes"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Changing table"", ""First aid kit"", ""Refrigerator"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Marie Stella Maris body soap""]",1,1,1,0,0,1,0,0,4,322,$322.00,3,4.93,4.78,0
50263,https://www.airbnb.com/rooms/50263,central de lux 2 bedrooms (4p) apt 125 sqm,"a beautiful 'de lux' 125 sqm apartment for 4 adults in a safe, quiet and green centrally located park. all the comfort , in the east side of the center, one of the best places and apartments in town. you won't be disappointed. designed by famous dutch architects!","the house is located in a green park where no cars are allowed. located in the funenpark , the upcoming area among the locals, the genuine amsterdam experience, near all venues in the east part of the center of amsterdam with perfect public transport connections. situated in an architectural hot spot funenpark of amsterdam in a contemporary building designed by famous dutch architects. the exquisite interior is designed by cas architect studio. all the convenient services are available and in a few minutes walk reachable.",0,centrum-oost,52.36937805,4.929579192,entire condo,entire home/apt,4,1.5 baths,1.5,2,3,"[""Pets allowed"", ""BBQ grill"", ""Free dryer \u2013 In unit"", ""Wifi"", ""Park view"", ""Hangers"", ""Children\u2019s dinnerware"", ""Paid street parking off premises"", ""Life size games"", ""Breakfast"", ""Cleaning products"", ""Hot water"", ""Bed linens"", ""Single level home"", ""55 inch HDTV with premium cable, standard cable, Netflix"", ""Iron"", ""Private patio or balcony"", ""Cooking basics"", ""Dishes and silverware"", ""Coffee maker"", ""Fire extinguisher"", ""Sonos sound system"", ""Luggage dropoff allowed"", ""Outdoor dining area"", ""Crib"", ""Laundromat nearby"", ""EV charger"", ""Drying rack for clothing"", ""Host greets you"", ""Dedicated workspace"", ""Clothing storage"", ""Bathtub"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Cleaning available during stay"", ""Kitchen"", ""Essentials"", ""Outdoor furniture"", ""Pack \u2019n play/Travel crib"", ""High chair"", ""Free washer \u2013 In unit"", ""Elevator""]",1,1,1,0,0,1,1,1,6,457,$457.00,2,4.86,4.75,0
50515,https://www.airbnb.com/rooms/50515,"family home (no drugs, smoking or parties)","this is a beautiful family home in a lovely part of amsterdam, bos en lommer. it's a recently build house, connected to a friendly little square with a small garden. only 10 minutes by bike from city centre, museums etc. quiet and comfortable. it's not suitable for parties, drugs or alcohol and we prefer families or couples.","our neighborhood is a lovely part of amsterdam. it's a multi cultural area with lots of turkish bakeries, restaurants from all over the world, the best bookshop in amsterdam, a beautiful theatre where you can enjoy music and meals from all over the world, small galleries, organic food stores, supermarkets, artists, students, and open minded friendly people. bos en lommer is often described as bolo (amsterdam's soho).",0,bos en lommer,52.37559,4.83857,entire townhouse,entire home/apt,5,1.5 baths,1.5,3,3,"[""Coffee"", ""Toaster"", ""Wifi"", ""Coffee maker: drip coffee maker"", ""Hangers"", ""Washer"", ""Other induction stove"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""TV"", ""Hot water"", ""Central heating"", ""Iron"", ""Private patio or balcony"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Body soap"", ""Outdoor dining area"", ""Laundromat nearby"", ""Microwave"", ""Housekeeping available from 1:00\u202fPM to 3:00\u202fPM, Wednesday - available at extra cost"", ""Bosch refrigerator"", ""Host greets you"", ""Freezer"", ""Paid parking off premises"", ""Hair dryer"", ""Private entrance"", ""Smoke alarm"", ""Kitchen"", ""Stainless steel single oven"", ""Essentials"", ""Dryer"", ""Clothing storage: closet"", ""Conditioner""]",1,1,1,0,0,1,1,0,5,198,$198.00,7,4.8,4.8,0
50523,https://www.airbnb.com/rooms/50523,b & b de 9 straatjes (city center),"b&b ""de 9 straatjes"" - your home in the heart of amsterdam welcome to a historic building located in the famous nine streets and jordaan area. enjoy a private entrance, bathroom, and bedroom for complete privacy. a complimentary bottle of bubbles awaits you on arrival. explore unique boutiques, cozy cafes, and restaurants nearby. iconic sights like the anne frank house and dam square are within walking distance. the perfect spot for an unforgettable city trip!",missing,1,centrum-west,52.36959,4.88423,entire condo,entire home/apt,2,1 bath,1,1,1,"[""Coffee"", ""Wifi"", ""Hangers"", ""Lockbox"", ""Hot water"", ""TV with standard cable"", ""Self check-in"", ""Coffee maker"", ""Luggage dropoff allowed"", ""Laundromat nearby"", ""Microwave"", ""Ethernet connection"", ""Mini fridge"", ""Heating"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Smoke alarm"", ""Essentials"", ""Clothing storage: closet""]",1,0,1,0,0,0,0,0,2,162,$162.00,2,4.88,4.83,0
97221,https://www.airbnb.com/rooms/97221,beautiful and spacious room,"private room offered in elegant furnished, clean and tidy apartment in a nice and quiet area close to the center",missing,0,slotervaart,52.34801,4.83639,private room in bed and breakfast,private room,2,1 shared bath,1,1,2,"[""Heating"", ""Lock on bedroom door"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Coffee maker: Nespresso"", ""Smoke alarm"", ""Microwave"", ""Wifi"", ""Hot water"", ""Hangers"", ""Hot water kettle"", ""Shampoo"", ""Mini fridge"", ""Elevator"", ""Fire extinguisher""]",1,0,0,0,0,0,0,1,2,68,$68.00,2,4.68,4.56,0
137026,https://www.airbnb.com/rooms/137026,charming historic house with garden in de pijp,"this lovely, three story monumental house is located in de pijp, also known as the 'quartier latin' of amsterdam. it is owned by federica and ton, an italian/dutch couple with three kids.","the house is located at 100 meters from the amstel river, and nearby popular attractions; rijksmuseum, van gogh museum, stedelijk museum, vondelpark, sarphatipark, leidseplein (bar/cafe/club scene) and the albert cuyp market. the albert cuyp is the best-known market in the netherlands and your address from monday to saturday for fresh vegetables, fish, clothes and all kinds of other items. in and around the albert cuyp market there are many lunchrooms. there you will find simple but excellent meals with a choice of many international cuisines including indian, kurdish, turkish, cambodian, surinam and chinese.",1,de pijp - rivierenbuurt,52.35178,4.90699,entire townhouse,entire home/apt,4,2 baths,2,3,3,"[""Coffee"", ""Pets allowed"", ""Toaster"", ""BBQ grill"", ""Free dryer \u2013 In unit"", ""Books and reading material"", ""Wifi"", ""Hangers"", ""Sound system"", ""Private backyard \u2013 Fully fenced"", ""Shower gel"", ""Piano"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Coffee maker: espresso machine"", ""Hot water"", ""Bed linens"", ""Miele oven"", ""Central heating"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Blender"", ""Self check-in"", ""Fire extinguisher"", ""Luggage dropoff allowed"", ""Body soap"", ""Trash compactor"", ""Microwave"", ""Stove"", ""Board games"", ""Host greets you"", ""Dedicated workspace"", ""Clothing storage"", ""Bathtub"", ""Freezer"", ""Barbecue utensils"", ""Keypad"", ""Paid parking off premises"", ""Hair dryer"", ""Private entrance"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""Cleaning available during stay"", ""Kitchen"", ""Essentials"", ""Exterior security cameras on property"", ""Outdoor furniture"", ""Free washer \u2013 In unit"", ""Conditioner""]",1,1,0,0,0,1,1,0,4,335,$335.00,2,4.71,4.56,0
179528,https://www.airbnb.com/rooms/179528,authentic amsterdam apartment rai,"beautiful apartment in the peaceful ""amsterdamse school"" style neighbourhood. close to everything amsterdam has to offer and next to the rai congress building.","beautifull and peacefull ""amsterdamse school"" style neighbourhood. close to everything amsterdam has to offer and next to the rai congress building.",1,de pijp - rivierenbuurt,52.34332,4.89484,entire rental unit,entire home/apt,3,1.5 baths,1.5,2,2,"[""Coffee"", ""Paid parking garage off premises"", ""Toaster"", ""Wifi"", ""Books and reading material"", ""Hangers"", ""Hot water kettle"", ""Bluetooth sound system"", ""Shower gel"", ""Free washer"", ""Wine glasses"", ""Cleaning products"", ""Dining table"", ""Hot water"", ""Bed linens"", ""TV with standard cable"", ""Long term stays allowed"", ""Iron"", ""Room-darkening shades"", ""Cooking basics"", ""Shampoo"", ""Dishes and silverware"", ""Coffee maker"", ""Blender"", ""Fire extinguisher"", ""Private patio or balcony"", ""Luggage dropoff allowed"", ""Body soap"", ""Crib"", ""Laundromat nearby"", ""Microwave"", ""Stove"", ""Drying rack for clothing"", ""Ethernet connection"", ""Host greets you"", ""Dedicated workspace"", ""Oven"", ""Freezer"", ""Heating"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Dishwasher"", ""Smoke alarm"", ""Extra pillows and blankets"", ""Refrigerator"", ""First aid kit"", ""Kitchen"", ""Clothing storage: closet and dresser"", ""Essentials"", ""Conditioner""]",1,1,1,0,0,1,1,0,5,301,$301.00,7,4.57,4.38,0
